Code,Description,Units,total
CAPRF+,Clean refrigerator - Interior and external - Heavy clean,EA,£32.24
CAPSHMP,Clean carpet shampoo machine,EA,£9.84
CAPSHMP-,Clean carpet shampoo machine - Light clean,EA,£6.33
CAPSHMP+,Clean carpet shampoo machine - Heavy clean,EA,£13.43
CAPSKL,Clean electric skillet,EA,£4.78
CAPSKL-,Clean electric skillet - Light clean,EA,£3.31
CAPSKL+,Clean electric skillet - Heavy clean,EA,£6.26
CAPSML,Clean small appliances (worktop),EA,£4.78
CAPSML-,Clean small appliances (countertop) - Light clean,EA,£3.07
CAPSML+,Clean small appliances (countertop) - Heavy clean,EA,£6.43
CAPVAC,Clean vacuum cleaner - Upright,EA,£12.90
CAPVAC-,Clean vacuum cleaner - Upright - Light clean,EA,£10.71
CAPVAC+,Clean vacuum cleaner - Upright - Heavy clean,EA,£16.41
CAPVACC,Clean vacuum cleaner - Canister w/ attachments,EA,£17.17
CAPVACC-,Clean vacuum cleaner - Canister w/ attachments - Light cln,EA,£14.25
CAPVACC+,Clean vacuum cleaner - Canister w/ attachments - Heavy cln,EA,£21.78
CAPWSH,Clean washer - Interior and external,EA,£10.81
CAPWSH-,Clean washer - Interior and external - Light clean,EA,£8.59
CAPWSH+,Clean washer - Interior and external - Heavy clean,EA,£13.83
CAPWSHX,Clean washer - External,EA,£5.03
CAPWSHX-,Clean washer - External - Light clean,EA,£2.93
CAPWSHX+,Clean washer - External - Heavy clean,EA,£8.09
CAPWSHXM,Corrosion mitigation of washer - External,EA,£2.93
,C) CDM CONSTRUCTION DESIGN MANAGEMENT,,
CDMACSF,Chimney access scaffold - Full system,WK,£247.92
CDMACSH,Chimney access scaffold - Half system,WK,£133.20
CDMAST2.8M,Mobile scaffold access tower - 2.8m Staircase,WK,£81.07
CDMAST4.3M,Mobile scaffold access tower - 4.3m Staircase,WK,£102.30
CDMAST5.8M,Mobile scaffold access tower - 5.8m Staircase,WK,£122.75
CDMAST7.3M,Mobile scaffold access tower - 7.3m Staircase,WK,£150.17
CDMAT10.2M,Mobile scaffold access tower - 10.2m working platform,WK,£233.35
CDMAT2.2M,Mobile scaffold access tower - 2.2m working platform,WK,£61.98
CDMAT3.2M,Mobile scaffold access tower - 3.2m working platform,WK,£71.25
CDMAT4.2M,Mobile scaffold access tower - 4.2m working platform,WK,£83.56
CDMAT5.2M,Mobile scaffold access tower - 5.2m working platform,WK,£102.52
