Code,Description,Units,total
FENMPS18-,Metal single gate - Primed - 1800mm high - Standard grade,£94.58 EA,£94.58
FENMPS18+,Metal single gate - Primed - 1800mm high - High grade,£177.92 EA,£177.90
FENMPS18++,Metal single gate - Primed - 1800mm high - Premium grade,£517.69 EA,£517.60
FENMPS9,Metal single gate - Primed - 900mm high,£90.07 EA,£90.07
FENMPS9-,Metal single gate - Primed - 900mm high - Standard grade,£77.88 EA,£77.88
FENMPS9+,Metal single gate - Primed - 900mm high - High grade,£116.30 EA,£116.30
FENMSRF,Metal single gate - Remove & refit,£10.66 EA,£10.66
FENP,"Picket fence, 3' to 4' high",£43.03 LM,£43.03
FENP>,"Picket fence, 5' to 6' high",£51.74 LM,£51.74
FENPOST14,Post - Angle iron - 1400mm,£48.15 EA,£48.15
FENPOST18,Post - Angle iron - 1800mm,£51.81 EA,£51.81
FENPOST24,Post - Angle iron - 2400mm,£56.02 EA,£56.02
FENTRWD18,Post - Wood - 100 x 100 x 1800mm - Treated softwood,£49.52 EA,£49.52
FENTRWD24,Post - Wood - 100 x 100 x 2400mm - Treated softwood,£49.26 EA,£49.26
FENWDFBB12,Wood fence - Lap/closed - 1200mm high - Panel,£49.61 LM,£49.61
FENWDFBB18,Wood fence - Lap/closed - 1800mm high - Panel,£53.80 LM,£53.80
FENWDFBB9,Wood fence - Lap/closed - 900mm high - Panel,£46.17 LM,£46.17
FENWDFCP12,Wood fence - Lap/closed - 1200mm high - Concrete post,£83.00 LM,£83.00
FENWDFCP18,Wood fence - Lap/closed - 1800mm high - Concrete post,£87.19 LM,£87.19
FENWDFCP9,Wood fence - Lap/closed - 900mm high - Concrete post,£79.69 LM,£79.69
FENWDFECP8,Wood fence - Featheredge - 1800mm high - Concrete post,£105.40 LM,£105.40
FENWDFETP8,Wood fence - Featheredge - 1800mm high - With timber post,£103.96 LM,£103.90
FENWDFLT18,Wood fence - Trellis panel - 1800mm high,£70.46 LM,£70.46
FENWDFLT3,Wood fence - Trellis panel - 300mm high,£37.67 LM,£37.67
FENWDFLT3+,Wood fence - Trellis panel - 300mm high - High grade,£42.29 LM,£42.29
FENWDFLT6,Wood fence - Trellis panel - 600mm high,£45.11 LM,£45.11
FENWDFLT6+,Wood fence - Trellis panel - 600mm high - High grade,£52.65 LM,£52.65
FENWDFTP12,Wood fence - Lap/closed - 1200mm high - With timber post,£78.86 LM,£78.86
FENWDFTP18,Wood fence - Lap/closed - 1800mm high - With timber post,£82.90 LM,£82.90
FENWDFTP9,Wood fence - Lap/closed - 900mm high - With timber post,£75.32 LM,£75.32
FENWDGT12,Wood gate - 900 x 1200mm high - Softwood,£112.98 EA,£112.90
FENWDGT18,Wood gate - 900 x 1800mm high - Softwood,£126.75 EA,£126.70
FENWDGT9,Wood gate - 900 x 900mm high - Softwood,£99.74 EA,£99.74
FENWDP18>,Post - Timber - End/corner post - 100mm x 1800mm,£49.52 EA,£49.52
FENWDP24>,Post - Timber - End/corner post - 100mm x 2400mm,£49.26 EA,£49.26
,X) HZD HAZARDOUS MATERIAL & WASTE ,,
HZD1SAM,LV - 1st Sample (Onsite) - Composite sample one per job.,£63.00 EA,£63.00
HZD2SAM,LV - 2nd Sample (Onsite) - Per additional composite sample,£31.50 EA,£31.50
HZDAS4AT,Asbestos - 4 stage clearances,£575.00 DA,£575.00
HZDASRT,Asbestos - Reassurance testing - UKAS accredited,£200.00 DA,£200.00
HZDCOSAM,LV Composite sample analysis,£19.50 EA,£19.50
HZDCOVID,PPE Allowance (COVID19),£2.50 EA,£2.50
HZDCRM,Asbestos - Coating removal from masonry - 11m² to 15m²,£136.76 EA,£136.70
HZDCRM<,Asbestos - Coating removal from masonry - 6m² to 10m²,£91.47 EA,£91.47
HZDCRM<<,Asbestos - Coating removal from masonry - up to 5m²,£45.66 EA,£45.66
HZDCRM>,Asbestos - Coating removal from masonry - 16m² to 20m²,£182.93 EA,£182.90
HZDCRM>>,Asbestos - Coating removal from masonry - 21m² to 25m²,£227.93 EA,£227.90
HZDCRP,Asbestos - Plasterboard & coating removal - 11m² to 15m²,£122.74 EA,£122.70
HZDCRP<,Asbestos - Plasterboard & coating removal - 6m² to 10m²,£81.82 EA,£81.82
HZDCRP<<,Asbestos - Plasterboard & coating removal - Up to 5m²,£40.91 EA,£40.91
HZDCRP>,Asbestos - Plasterboard & coating removal - 16m² to 20m²,£163.19 EA,£163.10
HZDCRP>>,Asbestos - Plasterboard & coating removal - 21m² to 25m²,£205.15 EA,£205.10
HZDDBG,Asbestos - Disposal bags,£0.29 EA,£0.29
HZDDCU,Asbestos - Decontamination unit - Twin shower (per week),£385.00 EA,£385.00
HZDFCT,Asbestos - Cementous roof panel removal - 11m² to 15m²,£101.13 EA,£101.10
HZDFCT<,Asbestos - Cementous roof panel removal - 6m² to 10m²,£67.43 EA,£67.43
HZDFCT<<,Asbestos - Cementous roof panel removal - Up to 5m²,£33.71 EA,£33.71
HZDFCT>,Asbestos - Cementous roof panel removal - 16m² to 20m²,£134.83 EA,£134.80
HZDFCT>>,Asbestos - Cementous roof panel removal - 21m² to 25m²,£168.94 EA,£168.90
HZDFTR,Asbestos - Thermal floor tile removal - 11m² to15m²,£108.38 EA,£108.30
HZDFTR<,Asbestos - Thermal floor tile removal - 6m² to 10m²,£72.16 EA,£72.16
HZDFTR<<,Asbestos - Thermal floor tile removal - Up to 5m²,£36.09 EA,£36.09
HZDFTR>,Asbestos - Thermal floor tile removal - 16m² to 20m²,£144.32 EA,£144.30
HZDFTR>>,Asbestos - Thermal floor tile removal - 21m² to 25m²,£180.63 EA,£180.60
HZDGSF,Asbestos - Cementous gutter/Soffit/Removal - 11m to 15m,£112.63 EA,£112.60
HZDGSF<,Asbestos - Cementous gutter/Soffit/Removal - 6m to 10m,£74.99 EA,£74.99
HZDGSF<<,Asbestos - Cementous gutter/Soffit/Removal - up to 5m,£37.49 EA,£37.49
HZDGSF>,Asbestos - Cementous gutter/Soffit/Removal - 16 - 20m,£150.37 EA,£150.30
HZDGSF>>,Asbestos - Cementous gutter/Soffit/Removal - 21m - 25m,£187.71 EA,£187.70
HZDHFB,Asbestos - Hepaflo vacuum bags,£1.39 EA,£1.39
HZDHVR,Asbestos - Class H vaccum cleaner - Weekly hire,£85.00 WK,£85.00
HZDHWAT,Asbestos - Hazardous waste disposal - Additional tonnage,£275.00 EA,£275.00
HZDLAB,Labour - Hazardous waste,£28.72 HR,£28.72
HZDLEN,Asbestos - Licensed enclosure - 11m² - 15m²,£401.81 EA,£401.80
HZDLEN<,Asbestos - Licensed enclosure - 6m² - 10m²,£313.22 EA,£313.20
HZDLEN<<,Asbestos - Licensed enclosure - Up to 5m²,£227.78 EA,£227.70
HZDLEN>,Asbestos - Licensed enclosure - 16 - 20m²,£496.60 EA,£496.60
HZDLEN>>,Asbestos - Licensed enclosure - 21 - 30m²,£631.30 EA,£631.30
HZDMN,Hazardous waste removal - Minimum trade rate,£114.88 EA,£114.80
HZDNLEN,Asbestos - Non licensed enclosure - 11 - 15m²,£152.03 EA,£152.00
HZDNLEN<,Asbestos - Non licensed enclosure - 6 - 10m²,£119.57 EA,£119.50
HZDNLEN<<,Asbestos - Non licensed enclosure - Up to 5m²,£77.28 EA,£77.28
HZDNLEN>,Asbestos - Non licensed enclosure - 16 - 20m²,£188.01 EA,£188.00
HZDNLEN>>,Asbestos - Non licensed enclosure - 21 - 30m²,£237.11 EA,£237.10
HZDNPU,Asbestos - Negative pressure unit - Weekly hire,£284.00 WK,£284.00
HZDRZD,Asbestos - Respirator zone setup charge,£61.06 EA,£61.06
HZDSASAM,LV Composite sample can only be used once per job.,£119.00 EA,£119.00
HZDSB,Asbestos - Safety barrier - Weekly hire,£11.00 WK,£11.00
HZDSKIP,Asbestos - Hazardous waste secure skip,£610.00 EA,£610.00
HZDSS,Asbestos - Safety signage,£11.15 EA,£11.15
,X) INS INSULATION ,,
INSBIC100,Cellulose loft insulation - Blown-in - 100mm,£7.65 M2,£7.65
INSBIC150,Cellulose loft insulation - Blown-in - 150mm,£10.73 M2,£10.73
INSBIC200,Cellulose loft insulation - Blown-in - 200mm,£12.74 M2,£12.74
INSBIC250,Cellulose loft insulation - Blown-in - 250mm,£17.12 M2,£17.12
INSBIF100,Fibreglass loft insulation - Blown-in - 100mm,£7.65 M2,£7.65
INSCL2F100,Cavity closer - 100mm - Thermabate,£11.46 LM,£11.46
INSCL2F50,Cavity closer - 50mm - Thermabate,£9.74 LM,£9.74
INSCL2F75,Cavity closer - 75mm - Thermabate,£10.53 LM,£10.53
INSDPMF,Damp proof membrane - Floor membrane - 1200 gauge,£7.47 M2,£7.47
INSDPMR,Damp proof membrane - Roof membrane,£7.58 M2,£7.58
INSDPMW,Damp proof membrane - Vertical wall membrane,£8.70 M2,£8.70
INSEPB100,Insulation board - 100mm - Expanded Polystyrene,£12.76 M2,£12.76
INSEPB25,Insulation board - 25mm - Expanded Polystyrene,£8.71 M2,£8.71
INSEPB50,Insulation board - 50mm - Expanded Polystyrene,£10.25 M2,£10.25
INSEPB75,Insulation board - 75mm - Expanded Polystyrene,£15.49 M2,£15.49
INSFRB100,Flat roof thermal board - 100mm (1200 x 600mm),£44.19 M2,£44.19
INSGL140,Frame insulation - Fibreglass - 140mm - TC .040,£10.20 M2,£10.20
INSGL140+,Frame insulation - Fibreglass - 140mm - TC .038,£30.62 M2,£30.62
INSGL140++,Frame insulation - Fibreglass - 140mm - TC .035,£17.12 M2,£17.12
INSGL90,Frame insulation - Fibreglass - 90mm - TC .040,£14.41 M2,£14.41
INSGL90+,Frame insulation - Fibreglass - 90mm - TC .038,£21.81 M2,£21.81
INSGL90++,Frame insulation - Fibreglass - 90mm - TC .035,£19.16 M2,£19.16
INSGLC100,Cavity wall insulation - Fibreglass - 100mm,£12.07 M2,£12.07
INSGLC50,Cavity wall insulation - Fibreglass - 50mm,£9.48 M2,£9.48
INSGLC65,Cavity wall insulation - Fibreglass - 65mm,£10.42 M2,£10.42
INSGLC75,Cavity wall insulation - Fibreglass - 75mm,£10.83 M2,£10.83
INSGLC85,Cavity wall insulation - Fibreglass - 85mm,£12.00 M2,£12.00
INSLAB,Insulation - Installer - Per hour,£28.93 HR,£28.93
INSLABL,Insulation - General Labourer - Per hour,£24.21 HR,£24.21
INSLGF100,Loft/floor insulation - Glass fibre roll - 100mm - TC .044,£9.89 M2,£9.89
INSLGF150,Loft/floor insulation - Glass fibre roll - 150mm - TC .044,£12.45 M2,£12.45
INSLGF200,Loft/floor insulation - Glass fibre roll - 200mm - TC .044,£14.92 M2,£14.92
INSLRW100,Loft/floor insulation - Rockwool roll - 100mm - TC .044,£12.38 M2,£12.38
INSLRW150,Loft/floor insulation - Rockwool roll - 150mm - TC .044,£14.97 M2,£14.97
INSLRW170,Loft/floor insulation - Rockwool roll - 170mm - TC .044,£16.78 M2,£16.78
INSLRW200,Loft/floor insulation - Rockwool roll - 200mm - TC .044,£22.30 M2,£22.30
INSMASTIC,Fire and heat silicone sealant,£7.77 LM,£7.77
INSMN,Insulation - Minimum trade rate,£86.88 EA,£86.88
INSP10W09,Lagging for 10mm pipe with 09mm insulation,£5.01 LM,£5.01
INSP10W13,Lagging for 10mm pipe with 13mm insulation,£5.62 LM,£5.62
INSP10W19,Lagging for 10mm pipe with 19mm insulation,£5.97 LM,£5.97
INSP10W25,Lagging for 10mm pipe with 25mm insulation,£9.26 LM,£9.26
INSP15W09,Lagging for 15mm pipe with 09mm insulation,£5.74 LM,£5.74
INSP15W13,Lagging for 15mm pipe with 13mm insulation,£6.10 LM,£6.10
INSP15W19,Lagging for 15mm pipe with 19mm insulation,£7.20 LM,£7.20
INSP15W25,Lagging for 15mm pipe with 25mm insulation,£9.62 LM,£9.62
INSP22W09,Lagging for 22mm pipe with 09mm insulation,£7.30 LM,£7.30
INSP22W13,Lagging for 22mm pipe with 13mm insulation,£6.95 LM,£6.95
INSP22W19,Lagging for 22mm pipe with 19mm insulation,£8.28 LM,£8.28
INSP22W25,Lagging for 22mm pipe with 25mm insulation,£10.66 LM,£10.66
INSP28W09,Lagging for 28mm pipe with 09mm insulation,£7.25 LM,£7.25
INSP28W13,Lagging for 28mm pipe with 13mm insulation,£7.88 LM,£7.88
INSP28W19,Lagging for 28mm pipe with 19mm insulation,£10.71 LM,£10.71
INSP28W25,Lagging for 28mm pipe with 25mm insulation,£11.37 LM,£11.37
INSP35W09,Lagging for 35mm pipe with 09mm insulation,£8.10 LM,£8.10
INSP35W13,Lagging for 35mm pipe with 13mm insulation,£8.26 LM,£8.26
INSP35W19,Lagging for 35mm pipe with 19mm insulation,£10.27 LM,£10.27
INSP35W25,Lagging for 35mm pipe with 25mm insulation,£13.23 LM,£13.23
INSP42W09,Lagging for 42mm pipe with 09mm insulation,£8.85 LM,£8.85
INSP42W13,Lagging for 42mm pipe with 13mm insulation,£9.57 LM,£9.57
INSP42W19,Lagging for 42mm pipe with 19mm insulation,£13.20 LM,£13.20
INSP42W25,Lagging for 42mm pipe with 25mm insulation,£14.99 LM,£14.99
INSP54W09,Lagging for 54mm pipe with 09mm insulation,£10.14 LM,£10.14
INSP54W13,Lagging for 54mm pipe with 13mm insulation,£11.62 LM,£11.62
INSP54W19,Lagging for 54mm pipe with 19mm insulation,£15.03 LM,£15.03
INSP54W25,Lagging for 54mm pipe with 25mm insulation,£16.82 LM,£16.82
INSRBR100,Rigid board insulation - Rafter - 100mm - Polyiso (PIR),£23.04 M2,£23.04
INSRBR50,Rigid board insulation - Rafter - 50mm - Polyiso (PIR),£13.35 M2,£13.35
INSRBR75,Rigid board insulation - Rafter - 75mm - Polyiso (PIR),£19.32 M2,£19.32
INSRFC100,Cavity wall insulation - Rockwool - 100mm,£9.85 M2,£9.85
INSRFC50,Cavity wall insulation - Rockwool - 50mm,£8.15 M2,£8.15
INSRFC65,Cavity wall insulation - Rockwool - 65mm,£8.39 M2,£8.39
INSRFC80,Cavity wall insulation - Rockwool - 80mm,£8.88 M2,£8.88
INSVERML,Vermiculite - loose fill insulation - 100mm,£29.04 M2,£29.04
INSVERMS,Vermiculite - Slurry mix,£136.48 M3,£136.40
INSXPS25,Cavity insulation - Foam board - 25mm - Polystyrene,£20.39 M2,£20.39
INSXPS30,Cavity insulation - Foam board - 30mm - Polystyrene,£22.36 M2,£22.36
INSXPS35,Cavity insulation - Foam board - 35mm - Polystyrene,£24.38 M2,£24.38
INSXPS40,Cavity insulation - Foam board - 40mm - Polystyrene,£26.85 M2,£26.85
INSXPS50,Cavity insulation - Foam board - 50mm - Polystyrene,£32.35 M2,£32.35
INSXPS60,Cavity insulation - Foam board - 60mm - Polystyrene,£42.03 M2,£42.03
,X) IRM IRONMONGERY,,
IRMBFT,Bifold door track & fittings - 916 to 1500mm,£67.72 EA,£67.72
IRMBFT<,Bifold door track & fittings - Up to 915mm,£47.97 EA,£47.97
IRMBFT>,Bifold door track & fittings - 1501 to 2400mm,£93.01 EA,£93.01
IRMBFTRF,Bifold door track & fittings - Per LM - Remove & refit,£20.18 LM,£20.18
IRMBLC,Bathroom - Lock case - Up to 76mm,£14.95 EA,£14.95
IRMBLC+,Bathroom - Lock case - Up to 76mm - High grade,£29.95 EA,£29.95
IRMBTR,Bathroom - Thumb turn release,£23.15 EA,£23.15
IRMBTR-,Bathroom - Thumb turn release - Standard grade,£17.20 EA,£17.20
IRMBTR+,Bathroom - Thumb turn release - High grade,£27.23 EA,£27.23
IRMBTRRF,Bathroom - Thumb turn release - Remove & refit,£9.25 EA,£9.25
IRMCC,Closer - Concealed,£26.53 EA,£26.53
IRMCC-,Closer - Concealed - Standard grade,£15.30 EA,£15.30
IRMCC+,Closer - Concealed - High grade,£151.03 EA,£151.00
IRMCCRF,Closer - Concealed - Remove & refit,£10.10 EA,£10.10
IRMCEDK,Cylinder - Euro/oval - Dbl key - 100mm,£24.61 EA,£24.61
IRMCEDK-,Cylinder - Euro/oval - Dbl key - 100mm - Standard grade,£11.93 EA,£11.93
IRMCEDK+,Cylinder - Euro/oval - Dbl key - 100mm - High grade,£35.53 EA,£35.53
IRMCERF,Cylinder - Thumb turn/double key - Remove & refit,£3.37 EA,£3.37
IRMCETT,Cylinder - Euro/oval - Thb turn - 100mm,£21.33 EA,£21.33
IRMCETT-,Cylinder - Euro/oval - Thb turn - 100mm - Standard grade,£14.68 EA,£14.68
IRMCETT+,Cylinder - Euro/oval - Thb turn - 100mm - High grade,£34.18 EA,£34.18
IRMCOH,Closer - Overhead,£60.76 EA,£60.76
IRMCOH-,Closer - Overhead - Standard grade,£29.47 EA,£29.47
IRMCOH+,Closer - Overhead - High grade,£91.11 EA,£91.11
IRMCOHRF,Closer - Overhead - Remove & refit,£8.42 EA,£8.42
IRMCPTRF,Curtain pole/track - Remove & refit,£6.17 LM,£6.17
IRMCSD,Closer - Spring door/surface mounted,£87.27 EA,£87.27
IRMCSD-,Closer - Spring door/surface mounted - Standard grade,£21.62 EA,£21.62
IRMCSD+,Closer - Spring door/surface mounted - High grade,£118.41 EA,£118.40
IRMCSDRF,Closer - Spring door - Remove & refit,£5.04 EA,£5.04
IRMDC,Deadlock - Up to 76mm,£17.45 EA,£17.45
IRMDC+,Deadlock - Up to 76mm - High grade,£27.86 EA,£27.86
IRMDFH,Door - Foot holder,£16.83 EA,£16.83
IRMDFH-,Door - Foot holder - Standard grade,£13.11 EA,£13.11
IRMDFH+,Door - Foot holder - High grade,£48.29 EA,£48.29
IRMDFHRF,Door - Foot holder - Remove & refit,£4.21 EA,£4.21
IRMDH2,Door hinge x2 - Non fire rated - 100mm,£18.58 EA,£18.58
IRMDH2-,Door hinge x2 - Non fire rated - 100mm - Standard grade,£16.45 EA,£16.45
IRMDH2+,Door hinge x2 - Non fire rated - 100mm - High grade,£23.53 EA,£23.53
IRMDH2RF,Door hinge x2 - 100mm - Remove & refit,£15.14 EA,£15.14
IRMDH3,Door hinge x3 - Non fire rated - 100mm,£31.71 EA,£31.71
IRMDH3-,Door hinge x3 - Non fire rated - 100mm - Standard grade,£27.74 EA,£27.74
IRMDH3+,Door hinge x3 - Non fire rated - 100mm - High grade,£36.39 EA,£36.39
IRMDH3RF,Door hinge x3 - 100mm - Remove & refit,£21.88 EA,£21.88
IRMDHC,Door hinge x2 - Cupboard - 50mm,£12.59 EA,£12.59
IRMDHC-,Door hinge x2 - Cupboard - 50mm - Standard grade,£12.05 EA,£12.05
IRMDHC+,Door hinge x2 - Cupboard - 50mm - High grade,£16.60 EA,£16.60
IRMDHF2,Door hinge x2 - Fire rated - 100mm,£22.20 EA,£22.20
IRMDHF2-,Door hinge x2 - Fire rated - 100mm - Standard grade,£17.59 EA,£17.59
IRMDHF2+,Door hinge x2 - Fire rated - 100mm - High grade,£34.04 EA,£34.04
IRMDHF3,Door hinge x3 - Fire rated - 100mm,£30.90 EA,£30.90
IRMDHF3-,Door hinge x3 - Fire rated - 100mm - Standard grade,£28.00 EA,£28.00
IRMDHF3+,Door hinge x3 - Fire rated - 100mm - High grade,£35.32 EA,£35.32
IRMDHK,Door hinge x2 - Kitchen cabinet,£12.23 EA,£12.23
IRMDHK-,Door hinge x2 - Kitchen cabinet - Standard grade,£11.69 EA,£11.69
IRMDHK+,Door hinge x2 - Kitchen cabinet - High grade,£17.24 EA,£17.24
IRMDHKRF,Door hinge x2 - Kitchen cabinet/cupboard - Remove & refit,£11.78 EA,£11.78
IRMDHSARF,Door hinge x2 - Spring action - Remove & refit,£15.14 EA,£15.14
IRMDHSDA,Door hinge x2 - Spring dbl action - 100mm,£26.12 EA,£26.12
IRMDHSDA+,Door hinge x2 - Spring dbl action - 100mm - High grade,£41.13 EA,£41.13
IRMDHSDA>,Door hinge x2 - Spring dbl action - 150mm,£27.85 EA,£27.85
IRMDHSDA>+,Door hinge x2 - Spring dbl action - 150mm - High grade,£60.25 EA,£60.25
IRMDHSSA,Door hinge x2 - Spring sgl action - 100mm,£30.81 EA,£30.81
IRMDHSSA+,Door hinge x2 - Spring sgl action - 100mm - High grade,£50.96 EA,£50.96
IRMDHSSA>,Door hinge x2 - Spring sgl action - 150mm,£46.40 EA,£46.40
IRMDHSSA>+,Door hinge x2 - Spring sgl action - 150mm - High grade,£76.92 EA,£76.92
IRMDORDH,Door dummy knob,£19.43 EA,£19.43
IRMDORDH-,Door dummy knob - Standard grade,£14.87 EA,£14.87
IRMDORDH+,Door dummy knob - High grade,£24.30 EA,£24.30
IRMDORDH++,Door dummy knob - Premium grade,£41.62 EA,£41.62
IRMDORDHRF,Door dummy knob - Remove & refit,£8.42 EA,£8.42
IRMDPH,D pull handle - Up to 300mm,£24.02 EA,£24.02
IRMDPH-,D pull handle - Up to 300mm - Standard grade,£13.01 EA,£13.01
IRMDPH+,D pull handle - Up to 300mm - High grade,£37.41 EA,£37.41
IRMDPH>,D pull handle - Up to 600mm,£27.71 EA,£27.71
IRMDPH>-,D pull handle - Up to 600mm - Standard grade,£20.00 EA,£20.00
IRMDPH>+,D pull handle - Up to 600mm - High grade,£43.91 EA,£43.91
IRMDPHRF,D pull handle - Remove & refit,£6.72 EA,£6.72
IRMDPK,Door privacy knob,£23.84 EA,£23.84
IRMDPK-,Door privacy knob - Standard grade,£17.75 EA,£17.75
IRMDPK+,Door privacy knob - High grade,£34.31 EA,£34.31
IRMDSCN,Door security chain,£16.14 EA,£16.14
IRMDSCN-,Door security chain - Standard grade,£10.41 EA,£10.41
IRMDSCN+,Door security chain - High grade,£29.02 EA,£29.02
IRMDSCNRF,Door security chain - Remove & refit,£6.72 EA,£6.72
IRMDSTP,Door stop - Wall or floor mounted,£15.39 EA,£15.39
IRMDSTPRF,Door stop - Wall or floor mounted - Remove & refit,£8.42 EA,£8.42
IRMECD,Euro case - Deadlock - Up to 76mm,£18.47 EA,£18.47
IRMECD+,Euro case - Deadlock - Up to 76mm - High grade,£36.77 EA,£36.77
IRMECS,Euro case - Sashlock - Up to 76mm,£17.04 EA,£17.04
IRMECS+,Euro case - Sashlock - Up to 76mm - High grade,£33.47 EA,£33.47
IRMEEK,Escutcheon - Euro/keyhole,£12.64 EA,£12.64
IRMEEK-,Escutcheon - Euro/keyhole - Standard grade,£10.94 EA,£10.94
IRMEEK+,Escutcheon - Euro/keyhole - High grade,£15.98 EA,£15.98
IRMFDR,Fire door retainer,£110.17 EA,£110.10
IRMFDR+,Fire door retainer - High grade,£142.77 EA,£142.70
IRMFDRRF,Fire door retainer - Remove & refit,£7.57 EA,£7.57
IRMFDSL,Fire door sign - Laminated,£6.00 EA,£6.00
IRMFDSM,Fire door sign - Metallic,£7.65 EA,£7.65
IRMFJP,Finger jamb protector,£38.41 EA,£38.41
IRMFJP-,Finger jamb protector - Standard grade,£23.92 EA,£23.92
IRMFJP+,Finger jamb protector - High grade,£61.70 EA,£61.70
IRMFJPRF,Finger jamb protector - Remove & refit,£5.04 EA,£5.04
IRMFP,Finger plate - 300mm,£16.31 EA,£16.31
IRMFP-,Finger plate - 300mm - Standard grade,£11.63 EA,£11.63
IRMFP+,Finger plate - 300mm - High grade,£25.98 EA,£25.98
IRMGHT,Gate hinge x2 - Tee - 153 to 254mm,£18.55 EA,£18.55
IRMGHT+,Gate hinge x2 - Tee - 153 to 254mm - High grade,£29.62 EA,£29.62
IRMGHT<,Gate hinge x2 - Tee - Up to 152mm,£18.93 EA,£18.93
IRMGHT<+,Gate hinge x2 - Tee - Up to 152mm - High grade,£25.51 EA,£25.51
IRMGHT>,Gate hinge x2 - Tee - 255 to 400mm,£20.88 EA,£20.88
IRMGHT>+,Gate hinge x2 - Tee - 255 to 400mm - High grade,£34.15 EA,£34.15
IRMGHT>>,Gate hinge x2 - Tee - 401 to 450mm,£20.23 EA,£20.23
IRMGHT>>+,Gate hinge x2 - Tee - 401 to 450mm - High grade,£41.86 EA,£41.86
IRMGHTRF,Gate hinge x2 - Remove & refit,£15.14 EA,£15.14
IRMKNOCK,Door knocker,£26.97 EA,£26.97
IRMKNOCKRF,Door knocker - Remove & refit,£10.10 EA,£10.10
IRMKP,Kicker plate,£19.96 EA,£19.96
IRMKP-,Kicker plate - Standard grade,£14.06 EA,£14.06
IRMKP+,Kicker plate - High grade,£32.00 EA,£32.00
IRMKPRF,Kicker/Finger plate - Remove & refit,£5.04 EA,£5.04
IRMLAB,Ironmongery - Installer - Per hour,£36.27 HR,£36.27
IRMLABL,Ironmongery - General Labourer - Per hour,£24.21 HR,£24.21
IRMLABO,Ironmongery - Ornamental Iron Installer - Per hour,£24.55 HR,£24.55
IRMLCRF,Lock case - Remove & refit,£4.21 EA,£4.21
IRMLHE,Lever handle - Euro plate,£17.90 EA,£17.90
IRMLHE-,Lever handle - Euro plate - Standard grade,£14.04 EA,£14.04
IRMLHE+,Lever handle - Euro plate - High grade,£25.78 EA,£25.78
IRMLHL,Lever handle - Lock plate,£22.15 EA,£22.15
IRMLHL-,Lever handle - Lock plate - Standard grade,£17.24 EA,£17.24
IRMLHL+,Lever handle - Lock plate - High grade,£28.52 EA,£28.52
IRMLHOA,Lever handle - Outside access,£68.71 EA,£68.71
IRMLHOA-,Lever handle - Outside access - Standard grade,£50.86 EA,£50.86
IRMLHOA+,Lever handle - Outside access - High grade,£90.31 EA,£90.31
IRMLHP,Lever handle - Blank plate,£23.89 EA,£23.89
IRMLHP-,Lever handle - Blank plate - Standard grade,£17.22 EA,£17.22
IRMLHP+,Lever handle - Blank plate - High grade,£40.21 EA,£40.21
IRMLHR,Lever handle - Rose,£20.49 EA,£20.49
IRMLHR-,Lever handle - Rose - Standard grade,£16.12 EA,£16.12
IRMLHR+,Lever handle - Rose - High grade,£26.77 EA,£26.77
IRMLHRF,Lever handle/knob - Remove & refit,£9.25 EA,£9.25
IRMLHT,Lever handle - Thumb turn,£24.07 EA,£24.07
IRMLHT-,Lever handle - Thumb turn - Standard grade,£16.59 EA,£16.59
IRMLHT+,Lever handle - Thumb turn - High grade,£29.95 EA,£29.95
IRMMDL,Mechanical digi lock,£69.68 EA,£69.68
IRMMDL-,Mechanical digi lock - Standard grade,£37.77 EA,£37.77
IRMMDL+,Mechanical digi lock - High grade,£91.68 EA,£91.68
IRMMDLRF,Mechanical digi lock - Remove & refit,£7.57 EA,£7.57
IRMMN,Ironmongery repair - Minimum trade rate,£108.92 EA,£108.90
IRMMPK,Multi point lock keep,£14.29 EA,£14.29
IRMMPK-,Multi point lock keep - Standard grade,£10.68 EA,£10.68
IRMMPK+,Multi point lock keep - High grade,£22.52 EA,£22.52
IRMMPKRF,Multi point lock keep - Remove & refit,£5.04 EA,£5.04
IRMMPL,Multi point lock,£71.37 EA,£71.37
IRMMPL-,Multi point lock - Standard grade,£50.43 EA,£50.43
IRMMPL+,Multi point lock - High grade,£114.33 EA,£114.30
IRMMPLRF,Multi point lock - Remove & refit,£8.42 EA,£8.42
IRMNLC,Night latch cylinder,£18.12 EA,£18.12
IRMNLC-,Night latch cylinder - Standard grade,£10.93 EA,£10.93
IRMNLC+,Night latch cylinder - High grade,£28.68 EA,£28.68
IRMNLCRF,Night latch cylinder - Remove & refit,£5.04 EA,£5.04
IRMNLD,Night latch - Deadlock,£43.99 EA,£43.99
IRMNLD-,Night latch - Deadlock - Standard grade,£40.30 EA,£40.30
IRMNLD+,Night latch - Deadlock - High grade,£59.55 EA,£59.55
IRMNLRF,Night latch - Traditional/deadlock - Remove & refit,£10.10 EA,£10.10
IRMNLT,Night latch - Traditional,£34.10 EA,£34.10
IRMNLT-,Night latch - Traditional - Standard grade,£24.19 EA,£24.19
IRMNLT+,Night latch - Traditional - High grade,£51.36 EA,£51.36
IRMPBE,Post-box - External,£46.58 EA,£46.58
IRMPBE-,Post-box - External - Standard grade,£36.00 EA,£36.00
IRMPBE+,Post-box - External - High grade,£82.69 EA,£82.69
IRMPBFD1,Panic bolt - Fire door - One way,£38.87 EA,£38.87
